[MMCd] MemoryMgr.c, Line:3651, NULL handle
[MMCd] MemoryMgr.c, Line:3651, NULL handle
[MMCd] mmcd.c, Line:1718, Unknown form!
[MMCd] mmcd.c, Line:1718, Unknown form!
[MMCd] mmcd.c, Line:1718, Unknown form!
[MMCd] mmcd.c, Line:1718, Unknown form!
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:1642, Index out of range
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:1642, Index out of range
[MMCd] MemoryMgr.c, Line:3651, NULL handle
[MMCd] mmcd.c, Line:1718, Unknown form!
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:1642, Index out of range
[MMCd] MemoryMgr.c, Line:3651, NULL handle
[MMCd] MemoryMgr.c, Line:3651, NULL handle
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:1642, Index out of range
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:1642, Index out of range
[MMCd] UIResource.c, Line:230, Menu rsrc not found
[MMCd] UIResource.c, Line:230, Menu rsrc not found
[MMCd] UIResource.c, Line:230, Menu rsrc not found
[MMCd] UIResource.c, Line:230, Menu rsrc not found
[MMCd] mmcd.c, Line:1719, Unknown form!
[MMCd] mmcd.c, Line:1719, Unknown form!
[MMCd] Event.c, Line:201, Event queue full
[MMCd] Event.c, Line:201, Event queue full
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:2027, Invalid ptr: 00000A28
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:2027, Invalid ptr: 00000A28
[MMCd] MemoryMgr.c, Line:3651, NULL handle
[MMCd] mmcd.c, Line:1730, Unknown form!
[MMCd] mmcd.c, Line:1730, Unknown form!
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:2027, Invalid ptr: 00000000
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:2027, Invalid ptr: 00000000
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:2027, Invalid ptr: 00000A29
[MMCd] Form.c, Line:5619, No form to return to
[MMCd] Form.c, Line:5619, No form to return to
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:2027, Invalid ptr: 00000000
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:2027, Invalid ptr: 00000000
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:2027, Invalid ptr: 00000000
[MMCd] I:\SimFix\ARM\Core\Emul68K\Src\Emul68KCommon.c, Line:2027, Invalid ptr: 00000000
[MMCd] MemoryMgr.c, Line:3651, NULL handle
[MMCd] MemoryMgr.c, Line:3651, NULL handle
[MMCd] MemoryMgr.c, Line:3651, NULL handle
[MMCd] MemoryMgr.c, Line:3651, NULL handle
